group,function,value,sample_time_nanos,iteration_count
Day1 - Part2,(default),,21118661,1
Day1 - Part2,(default),,48653055,2
Day1 - Part2,(default),,55250546,3
Day1 - Part2,(default),,69987489,4
Day1 - Part2,(default),,88041363,5
Day1 - Part2,(default),,103987950,6
Day1 - Part2,(default),,120638132,7
Day1 - Part2,(default),,136059642,8
Day1 - Part2,(default),,147900027,9
Day1 - Part2,(default),,161123995,10
Day1 - Part2,(default),,173114773,11
Day1 - Part2,(default),,194467231,12
Day1 - Part2,(default),,216644438,13
Day1 - Part2,(default),,236694593,14
Day1 - Part2,(default),,247267322,15
Day1 - Part2,(default),,274747568,16
Day1 - Part2,(default),,298648986,17
Day1 - Part2,(default),,298028119,18
Day1 - Part2,(default),,311533013,19
Day1 - Part2,(default),,339634563,20
Day1 - Part2,(default),,357367051,21
Day1 - Part2,(default),,359464832,22
Day1 - Part2,(default),,385145606,23
Day1 - Part2,(default),,393359142,24
Day1 - Part2,(default),,403223509,25
Day1 - Part2,(default),,428717004,26
Day1 - Part2,(default),,428909017,27
Day1 - Part2,(default),,489020467,28
Day1 - Part2,(default),,473363538,29
Day1 - Part2,(default),,507199653,30
Day1 - Part2,(default),,551710866,31
Day1 - Part2,(default),,533138652,32
Day1 - Part2,(default),,545075816,33
Day1 - Part2,(default),,553793787,34
Day1 - Part2,(default),,585765459,35
Day1 - Part2,(default),,610899562,36
Day1 - Part2,(default),,600428873,37
Day1 - Part2,(default),,691678215,38
Day1 - Part2,(default),,656652533,39
Day1 - Part2,(default),,688019803,40
Day1 - Part2,(default),,695246253,41
Day1 - Part2,(default),,750501512,42
Day1 - Part2,(default),,724913895,43
Day1 - Part2,(default),,725839092,44
Day1 - Part2,(default),,743764344,45
Day1 - Part2,(default),,769450671,46
Day1 - Part2,(default),,823787825,47
Day1 - Part2,(default),,846880694,48
Day1 - Part2,(default),,877781153,49
Day1 - Part2,(default),,854929811,50
Day1 - Part2,(default),,869113893,51
Day1 - Part2,(default),,884878556,52
Day1 - Part2,(default),,965833561,53
Day1 - Part2,(default),,983372848,54
Day1 - Part2,(default),,931721929,55
Day1 - Part2,(default),,978787580,56
Day1 - Part2,(default),,945740892,57
Day1 - Part2,(default),,1081216896,58
Day1 - Part2,(default),,1001875857,59
Day1 - Part2,(default),,1072885248,60
Day1 - Part2,(default),,1069643092,61
Day1 - Part2,(default),,1222459129,62
Day1 - Part2,(default),,1102671028,63
Day1 - Part2,(default),,1097024278,64
Day1 - Part2,(default),,1094294036,65
Day1 - Part2,(default),,1108712483,66
Day1 - Part2,(default),,1180655891,67
Day1 - Part2,(default),,1142220556,68
Day1 - Part2,(default),,1131230284,69
Day1 - Part2,(default),,1138338505,70
Day1 - Part2,(default),,1181504629,71
Day1 - Part2,(default),,1204137944,72
Day1 - Part2,(default),,1208743796,73
Day1 - Part2,(default),,1257873436,74
Day1 - Part2,(default),,1229799441,75
Day1 - Part2,(default),,1263673647,76
Day1 - Part2,(default),,1328809351,77
Day1 - Part2,(default),,1334097845,78
Day1 - Part2,(default),,1321846364,79
Day1 - Part2,(default),,1344440739,80
Day1 - Part2,(default),,1342836691,81
Day1 - Part2,(default),,1386314119,82
Day1 - Part2,(default),,1391863280,83
Day1 - Part2,(default),,1421994429,84
Day1 - Part2,(default),,1435569913,85
Day1 - Part2,(default),,1461604037,86
Day1 - Part2,(default),,1466535601,87
Day1 - Part2,(default),,1466706127,88
Day1 - Part2,(default),,1517606898,89
Day1 - Part2,(default),,1536561346,90
Day1 - Part2,(default),,1535872273,91
Day1 - Part2,(default),,1556036466,92
Day1 - Part2,(default),,1561895243,93
Day1 - Part2,(default),,1582752341,94
Day1 - Part2,(default),,1599542847,95
Day1 - Part2,(default),,1623374699,96
Day1 - Part2,(default),,1623508605,97
Day1 - Part2,(default),,1605746613,98
Day1 - Part2,(default),,1628483891,99
Day1 - Part2,(default),,1632883291,100
